Case_ID,Name,Cell ,Email,Type,Hours
aaa111,Aria Adam,1616161616,aaa111@case.edu,FLEX,2
bbb222,Brianna Beach,1717171717,bbb222@case.edu,LONG,5
ccc333,Caleb Curry,1818181818,ccc333@case.edu,FLEX,0
ddd444,Dylan Douglas,1919191919,ddd444@case.edu,LONG,8
eee555,Emily Erikson,2020202020,eee555@case.edu,LONG,4
fff666,Fiona Fragman,2121212121,fff666@case.edu,LONG,7
ggg777,Gordon Gullit,2323232323,ggg777@case.edu,FLEX,1
hhh888,Hannah Hauber,2424242424,hhh888@case.edu,LONG,6
iii999,Iris Illaya,2525252525,iii999@case.edu,LONG,5
jjj1010,Jughead Jones,2626262626,jjj1010@case.edu,FLEX,4
kkk1111,Kate Kinglsey,2727272727,kkk1111@case.edu,LONG,6
lll1212,Lindsay Lohan,2828282828,lll1212@case.edu,LONG,8
mmm1313,Madeiline Myers,2929292929,mmm1313@case.edu,LONG,6
nnn1414,Nate Nguyen,3030303030,nnn1414@case.edu,FLEX,3
ooo1515,Oolong Osborne,3131313131,ooo1515@case.edu,LONG,4
ppp1616,Peter Parker,3232323232,ppp1616@case.edu,LONG,7
rrr1818,Rebecca Robinhood,3434343434,rrr1818@case.edu,LONG,9
